"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","ошибка при отсутствии частей даты","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректный формат даты","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","21","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","79","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"","873","Data-Driven: корректная дата для тарифа 1 мес.","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","2","DECLINED — продление запрещено","","2026-04-07","passed","2026-04-07","","","",""
"","1","PENDING — расчёт даты не вызывается","сложный сценарий — расчёт даты НЕ выполняется","2026-04-07","passed","2026-04-07","","","",""
"","1","месяц 13 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"","938","Data-Driven: корректная дата для тарифа 12 мес.","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1040","Data-Driven: корректная дата для тарифа 1 мес.","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","6735","Позитивный сценарий: успешное продление для статуса OK","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","22","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","20","Отказ продления при статусе платежа Declined","","2026-04-07","passed","2026-04-07","","","",""
"","902","Негативный сценарий: статус Declined -> ошибка","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","день 0 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"","1517","Data-Driven: корректная дата для тарифа 6 мес.","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","2","день равен нулю","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","380","Data-Driven: корректная дата для тарифа 6 мес.","chromium","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","неизвестное название месяца","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","754","Негативный сценарий: некорректный ID пользователя","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","ошибка платёжного сервиса (reject)","","2026-04-07","passed","2026-04-07","","","",""
"","1","неизвестный статус транзакции","","2026-04-07","passed","2026-04-07","","","",""
"","1","отрицательный год","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","2","месяц 0 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
