"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","473","Негативный сценарий: некорректный ID пользователя","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","месяц 15 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","13","Обработка некорректного userId","","2026-04-07","passed","2026-04-07","","","",""
"","1","добавление 6 месяцев","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","корректные подписки","",""
"","1","30 ноября + 3 месяца → февраль","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","месяцы с разным количеством дней","",""
"","1","день равен нулю","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","1","31 февраля — недопустимая дата","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","493","Data-Driven: корректная дата для тарифа 6 мес.","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","725","Data-Driven: корректная дата для тарифа 6 мес.","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","393","Data-Driven: корректная дата для тарифа 12 мес.","chromium","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","PENDING — расчёт даты не вызывается","сложный сценарий — расчёт даты НЕ выполняется","2026-04-07","passed","2026-04-07","","","",""
"","1","добавление 12 месяцев (полный год)","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","корректные подписки","",""
"","0","SUCCESS → должен вызвать calculateSubscriptionEndDate и вернуть её результат","успешный сценарий — оплата прошла, дата считается","2026-04-07","passed","2026-04-07","","","",""
"","498","Data-Driven: корректная дата для тарифа 1 мес.","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","ошибка платёжного сервиса (reject)","","2026-04-07","passed","2026-04-07","","","",""
"","277","Data-Driven: корректная дата для тарифа 6 мес.","chromium","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","месяц отрицательный → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"","5","месяц 13 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"","740","Data-Driven: корректная дата для тарифа 12 мес.","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","489","Data-Driven: корректная дата для тарифа 3 мес.","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","ошибка при отсутствии частей даты","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректный формат даты","",""
"","713","Негативный сценарий: некорректный ID пользователя","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","384","Позитивный сценарий: успешное продление для статуса OK","chromium","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
